aberrant,noun,A person or object that deviates from the rest of a group.,no sentence.
abeyance,noun,"Expectancy; condition of ownership of real property being undetermined; lapse in succession of ownership of estate, or title.",The proceeds of the estate shall be held in abeyance in an escrow account until the minor reaches age twenty-one.
abscond,verb,conceal; flee; run away; steal away,The thieves absconded with our property.
abstemious,adjective,"Marked by, or spent in, abstinence.",an abstemious life
abstruse,adjective,Difficult to comprehend or understand.,no sentence.
absurd,noun,An absurdity.,no sentence.
abyss,noun,Hell; the bottomless pit; primeval chaos; a confined subterranean ocean.,no sentence.
acquiesce,verb,"(with in (or sometimes with, to)) To rest satisfied, or apparently satisfied, or to rest without opposition and discontent (usually implying previous opposition or discontent); to accept or consent by silence or by omitting to object.",no sentence.
adamant,noun,An imaginary rock or mineral of impenetrable hardness; a name given to the diamond and other substances of extreme hardness.,no sentence.
adept,noun,One fully skilled or well versed in anything; a proficient,adepts in philosophy
admonish,verb,"To warn or notify of a fault; to reprove gently or kindly, but seriously; to exhort.",no sentence.
adulate,verb,To flatter effusively.,no sentence.
adulation,noun,Flattery; fulsome praise.,He was uncomfortable with the adulation from his fans.
adulterate,verb,debase,"to adulterate food, drink, drugs, coins, etc."
adumbrate,verb,To foreshadow vaguely.,no sentence.
adverse,adjective,Unfavorable; antagonistic in purpose or effect; hostile; actively opposing one's interests or wishes; contrary to one's welfare; acting against; working in an opposing direction.,adverse criticism
aesthete,noun,"Someone who cultivates an unusually high sensitivity to beauty, as in art or nature.",no sentence.
affable,adjective,"Receiving others kindly and conversing with them in a free and friendly manner; friendly, courteous, sociable.",no sentence.
affliction,noun,"A state of pain, suffering, distress or agony.",no sentence.
affluent,adjective,(by extension) Abounding in goods or riches; having a moderate level of material wealth.,"They were affluent, but aspired to true wealth."
aggrandize,verb,To make great; to enlarge; to increase.,"to aggrandize one's authority, distress"
agitate,verb,canvass; debate; discuss; distract; disturb; excite; move; revolve; rouse; shake,He was greatly agitated by the news.
agog,adjective,"In eager desire, eager, astir.",no sentence.
alacrity,noun,Eagerness; liveliness; enthusiasm.,no sentence.
allegation,noun,accusation; assertion; censure; charge; crimination; impeachment,She put forth several allegations regarding her partner in hopes of discrediting his actions.
allegiance,noun,"Loyalty to some cause, nation or ruler.",no sentence.
ally,noun,"A person, group, or state (etc) which is associated with another for a common cause; one united to another by treaty or common purpose; a confederate.",the two countries were allies in WWI
amalgamate,verb,mix,to amalgamate one race with another
ambiguous,adjective,equivocal,The politician was criticized for his ambiguous statements and lack of precision.
ambivalent,adjective,fluctuating; vacillating; wavering; conflicted; uncertain; undecided; unresolved,He has an ambivalent relationship towards his parents.
ameliorate,verb,"To make better, or improve, something perceived to be in a negative condition.",They offered some compromises in an effort to ameliorate the situation.
amenable,adjective,Willing to respond to persuasion or suggestions.,no sentence.
anachronism,noun,"A chronological mistake; the erroneous dating of an event, circumstance, or object.",no sentence.
analgesic,noun,"Any medicine, such as aspirin, that reduces pain, especially without inducing a loss of other sensation. (Contrast anesthetic.)",no sentence.
annex,noun,"An addition, an extension.",no sentence.
annotate,verb,To add annotation to.,no sentence.
annul,verb,To formally revoke the validity of.,no sentence.
anomalous,adjective,Deviating from the normal; marked by incongruity or contradiction; aberrant or abnormal.,no sentence.
antediluvian,adjective,antediluvial; antediluvial; old; prehistoric; dated; old-fashioned; preflood,Those ideas are antediluvian.
antipathy,noun,"A feeling of dislike (normally towards someone, less often towards something); repugnance or distaste.",no sentence.
antiseptic,noun,Any substance that inhibits the growth and reproduction of microorganisms. Generally includes only those that are used on living objects (as opposed to disinfectants) and aren't transported by the lymphatic system to destroy bacteria in the body (as opposed to antibiotics).,no sentence.
apocryphal,adjective,allonymous; spurious; anecdotal,Many scholars consider the stories of the monk Teilo to be apocryphal.
apparition,noun,An act of becoming visible; appearance; visibility.,no sentence.
appraise,verb,"To determine the value or worth of something, particularly as a person appointed for this purpose.",to appraise goods and chattels
apprehension,noun,The physical act of seizing or taking hold of (something); seizing.,no sentence.
apprise,verb,"To notify, or to make aware; to inform.",no sentence.
approbation,noun,"The act of approving; an assenting to the propriety of a thing with some degree of pleasure or satisfaction; approval, sanction, commendation or official recognition.",no sentence.
aptitude,noun,Natural ability to acquire knowledge or skill.,no sentence.
aqueous,adjective,Consisting mostly of water.,no sentence.
arable,adjective,"(of land) Able to be plowed or tilled, capable of growing crops (traditionally contrasted with pasturable lands such as heaths).",no sentence.
arbitrate,verb,To make a judgment (on a dispute) as an arbitrator or arbiter,to arbitrate a disputed case
arduous,adjective,burdensome; demanding; exhausting; fatiguing; laborious; onerous; strenuous; strugglesome; wearisome,The movement towards a peaceful settlement has been a long and arduous political struggle.
articulate,adjective,eloquent; well-spoken,"She’s a bright, articulate young woman."
ascetic,noun,"One who is devoted to the practice of self-denial, either through seclusion or stringent abstinence.",no sentence.
ascribe,verb,attribute; impute,"One may ascribe these problems to the federal government; however, at this stage it is unclear what caused them."
asperity,noun,Roughness as of stone or weather.,the asperity of Maine's winter
aspersion,noun,"An attack on somebody's reputation or good name, often in the phrase to cast aspersions upon….",no sentence.
aspiration,noun,"The act of aspiring or ardently desiring; an ardent wish or desire, chiefly after what is elevated or spiritual (with common adjunct adpositions being to and of).",Morgan has an aspiration of winning the game.
assess,verb,"To determine, estimate or judge the value of; to evaluate",He assessed the situation.
assuage,verb,"To lessen the intensity of, to mitigate or relieve (hunger, emotion, pain etc.).",no sentence.
astringent,noun,"A substance which draws tissue together, thus restricting the flow of blood.",no sentence.
astute,adjective,Quickly and critically discerning.,no sentence.
atone,verb,"To make reparation, compensation, amends or satisfaction for an offence, crime, mistake or deficiency.",no sentence.
atrophy,noun,"A reduction in the functionality of an organ caused by disease, injury or lack of use.",no sentence.
