laborious,adjective,characterized by effort to the point of exhaustion; especially physical effort, The most laborious job I've had was working 20 hours a day as a fisherman in King Salmon in Alaska.
prevail,verb,be widespread in a particular area at a particular time; be current,"During the labor negotiations,an air of hostility prevailed in the office."
jubilant,adjective,full of high-spirited delight because of triumph or success,"My hardwork paid off, and I was jubilant to receive a perfect score on the GRE."
brusquely,adverb,"in a blunt direct manner.","Not one for social pleasantries, the Chief of Staff would brusquely ask his subordinates anything he wanted, even coffee"
veneer,noun,covering consisting of a thin superficial layer that hides the underlying substance," ""Mark Twain referred to the Victorian Period in America as the """"Gilded Age, implying the ample moral corruption that lay beneath a mere veneer of respectability."""
unseemly,adjective,not in keeping with accepted standards of what is right or proper in polite society," ""He acted in an unseemly manner, insulting the hostess and then speaking ill of her deceased husband."
miser,noun,a person who doesn't like to spend money (because they are greedy),"Monte was no miser, but was simply frugal wisely spending the little that he earned."
vitriol,noun,abusive or venomous language used to express blame or bitter deep-seated ill will, His vitriol spewed forth from a deep-seated racisim that consumed his whole life.
autocratic,adjective,characteristic of an absolute ruler or absolute rule; having absolute sovereignty, The last true autocratic country is certainly North Korea; nowhere does a leader exercise the absolute control over all aspects of a people the way that Kim Jong-un does.
meander,verb,to wander aimlessly.,"A casual observer might have thought that Peter was meandering through the city, but that day he was actually seeking out those places where he and his long lost love had once visited."
cerebral,adjective,involving intelligence rather than emotions or instinct.,"A cerebral analysis of most pop music finds it to be simple and childish, but that ignores the point--the music's effect on the listener. This word has other definitions but this is the most important one for the GRE."
corollary,noun,a practical consequence that follows naturally.,"A corollary of Hurricane Sandy, which ravaged the east coast of the U.S., is a push to build higher sea walls to protect against future hurricanes."
belittle,verb,"lessen the importance, dignity, or reputation of.","A good teacher will never belittle his students, but will instead empower them."
preempt,verb,take the place of or have precedence over.,A governmental warning about an imminent terrorist attack would preempt ordinary network programming on television.
duplicity,noun,"deceitfulness, pretending to want one thing but interested in something else.",A life of espionage is one of duplicity: an agent must pretend to be a totally different person than who she or he actually is.
genteel,adjective,marked by refinement in taste and manners.,A live string quartet would provide a more genteel air to the wedding than would a folk singer.
sardonic,adjective,disdainfully or ironically humorous; scornful and mocking.,A stand-up comedian walks a fine line when making jokes about members of the audience; such fun and joking can quickly become sardonic and cutting.
cohesive,adjective,"well integrated, forming a united whole.","A well-written, cohesive essay will keep on topic at all times, never losing sight of the main argument."
aberration,noun,a deviation from what is normal or expected.,Aberrations in climate have become the norm: rarely a week goes by without some meteorological phenomenon making headlines.
imponderable,adjective,impossible to estimate or figure out.,"According to many lawmakers, the huge variety of factors affecting society make devising an efficient healthcare system an imponderable task."
bereft,adjective,unhappy in love; suffering from unrequited love.,"After 64 years of marriage, William was bereft after the death of his wife."
expansive,adjective,"communicative, and prone to talking in a sociable manner.","After a few sips of cognac, the octogenarian shed his irascible demeanor and became expansive, speaking fondly of the ""good old days"". This word has other definitions but this is the most important one for the GRE."
inclement,adjective,"(of weather) unpleasant, stormy.","After a week of inclement weather, we finally are able to go outside and enjoy the sun."
inequity,noun,injustice by virtue of not conforming with rules or standards.,"After decades of racial inequity, the ""separate but equal"" doctrine was successfully overturned."
desecrate,verb,to willfully violate or destroy a sacred place.,"After desecrating the pharaoh's tomb, the archaeologist soon fell victim to a horrible illness."
besiege,verb,"harass, as with questions or requests; cause to feel distressed or worried.","After discovering a priceless artifact in her backyard, Jane was besieged by phone calls, emails, and reporters all trying to buy, hold or see the rare piece of history."
maunder,verb,speak (about unimportant matters) rapidly and incessantly.,"After drinking two expressos each, the animated couple would maunder loudly, annoying the other patrons in the coffee shop."
melee,noun,"a wild, confusing fight or struggle.","After enduring daily taunts about my name, I became enraged and pummeled the schoolyard bully and his sycophantic friends in a brutal melee."
anomaly,noun,"something that is not normal, standard, or expected.","After finding an anomaly in the data, she knew that she would have to conduct her experiment again."
forlorn,adjective,marked by or showing hopelessness.,"After her third pet dog died, Marcia was simply forlorn: this time even the possibility of buying a new dog no longer held any joy."
summit,noun,the peak or highest point.,"After hiking for two days, the climbers finally reached the summit of Mount Kilimanjaro."
unimpeachable,adjective,free of guilt; not subject to blame; beyond doubt or reproach.,"After his long and unimpeachable service to the company, Sharat felt that a gold watch was a slap in the face rather than an honor."
spartan,adjective,unsparing and uncompromising in discipline or judgment; practicing great self- denial.,"After losing everything in a fire, Tim decided to live in spartan conditions, sleeping on the floor and owning as little furniture as a possible."
resolve,verb,reach a conclusion after a discussion or deliberation.,"After much thought, Ted resolved not to travel abroad this summer because he didn't have much money in his bank account. This word has other definitions but this is the most important one for the GRE."
estimable,adjective,deserving of esteem and respect.,"After serving thirty years, in which he selflessly served the community, Judge Harper was one of the more estimable people in town."
excruciating,adjective,extremely painful.,"After the boulder rolled a couple of feet, pinning my friend's arm, he experienced excruciating pain."
pillory,verb,ridicule or expose to public scorn.,"After the candidate confessed, the press of the opposing party took the opportunity to pillory him, printing editorials with the most blatantly exaggerated accusations. This word has other definitions but this is the most important one for the GRE."
